,name,bar_code,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,traceability_code,additives,generic_name,manufacturing,link,ingredients_origins,palm_ingredients,brand_owner,producer_info,origin_detail
1060,Happy Hippo Biscuit - Kinder,4008400836324,['wrapper'],['Kinder'],"['France', 'Espagne']","['sugar', 'vegetable fats ', 'palm', 'shea', 'wheat flour', 'whole milk powder ', '7,5%', ' fat-reduced cocoa powder ', '5%', 'skimmed milk powder ', '4,5%', 'hazelnuts', 'whey powder ', 'milk', 'chocolate ', 'sugar', 'cocoa mass', 'cocoa butter', 'emulsifier: lecithins ', 'soya', ' vanillin', 'wheat starch', 'sunflower oil', 'emulsifier: lecithins ', 'soya', 'whey proteins ', 'milk', 'raising agents ', 'ammonium bicarbonate', 'sodium bicarbonate', 'ammonium carbonate', 'salt', 'vanillin,']","['Huile de palme', 'Non végétalien']",?,594.2028766502,2486 kj(594 kcal),"38,6","17,6","53,6","45,1","6,7","0,66","0,264",D,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Pur beurre de cacao', ""À l'huile de tournesol""]",,38.6 g,en quantité élevée,17.6 g,en quantité élevée,45.1 g,en quantité élevée,0.66 g,en quantité modérée,,+25%,+25%,+86%,+74%,-16%,+53%,+3%,+12%,+12%,29,+46%,E,+46%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,"['E322 - Lécithines', ""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', ""E503i - Carbonate d'ammonium""]",,,,,,,,
1061,Brassé bio mangue - byo essentiel - 400g,4008471483328,,['byo essentiel'],['France'],"['Yaourt doux', 'mangues ', '10%', 'sucre', 'amidon', 'épaississants : farine de graines de caroube et pectine', 'jus de citron concentré', 'concentrés de pommes et de citrouille']","['Sans huile de palme', 'Non végétalien']",?,102,427 kj(102 kcal),"2,9","1,9","14,3","13,6","4,2","0,1","0,04",B,400 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de vache', 'Yaourts à la mangue']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,2.9 g,en faible quantité,1.9 g,en quantité modérée,13.6 g,en quantité élevée,0.1 g,en faible quantité,,0%,+4%,-5%,-4%,+7%,+11%,+12%,-7%,-7%,3,+5%,C,+5%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Lait'],4,['DE NW 501 EG'],"['E410 - Gomme de caroube', 'E440 - Pectines']",,,,,,,,
1062,Fonzies - Mondelez,4009267003089,,['Mondelez'],"['France', 'Italie']","['semola di mais 62,2%', 'olio di palma FORMAGGIO fuso in polvere 6% siero di latte in polvere', 'sale', 'aromi', 'lievito in polvere', 'estratto di lievito', 'estratto di sapidità ', 'E621', 'E627 E631', 'lattasio ', 'da latte', ' aromatizzante di affulicatura PUO CONTENERE RANO', 'ARACHIDI']",[],?,525,2197 kj(525 kcal),32,"15,5",51,"4,7","7,8","1,23","0,492",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Plats préparés', 'Chips', 'Chips de pommes de terre', 'Entrées']",,,32 g,en quantité élevée,15.5 g,en quantité élevée,4.7 g,en faible quantité,1.23 g,en quantité modérée,,+125%,+133%,+152%,+577%,+159%,+61%,+55%,+15%,+15%,21,+250%,E,+250%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,['Arachides'],4,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique']",,,,,,,,
1063,Thomy mittelscharfer  Delikatesse Senf - 100ml,40056043,"['Aluminium', 'Tube', 'produkt']",['Thomy'],"['France', 'Allemagne', 'Suisse']","['Wasser', 'SENFKÖRNER', 'Branntweinessig', 'Jodsalz', 'Gewürze ', 'Kurkuma', 'Koriander', 'Paprika', 'Piment', 'Zucker']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,119,498 kj(119 kcal),"7,3","1,5","3,8","1,9","6,7","3,9","1,56",B,100 ml,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,7.3 g,en quantité modérée,1.5 g,en quantité modérée,1.9 g,en faible quantité,3.9 g,en quantité élevée,,-30%,-30%,-32%,+83%,-45%,-51%,+2%,-17%,-17%,9,-22%,C,-22%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Moutarde'],3,,,,,,,,,,
1064,Chutes de saumon fumé décongelées - Sans marque - 150g,4010871055753,"['Sachet', 'Plastique', 'Sous-vide']","['Sans marque', 'Morpol']",['France'],"['Saumon rouge du pacifique ', 'Oncorhynchus nerka', ' 95 %', 'sel 4%', 'sucre 1%']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",495,?,495 kj(118 kcal),2,"0,1","0,3","0,3","24,4","3,38","1,352",E,150 g,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons sauvages', 'Saumons fumés sauvages']","['Pêché au filet maillant', 'Fabriqué en France', 'Pêché à la senne']",['Carrefour City'],2 g,en faible quantité,0.1 g,en faible quantité,0.3 g,en faible quantité,3.38 g,en quantité élevée,-8%,,-10%,-46%,-88%,-39%,-18%,+3%,+15%,+15%,11,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Poisson'],3,['PL 22121818 WE'],,,['Pologne'],,['FAO 67'],,,,
1065,Haferflocken - Bauck hof,4015637823645,,['Bauck hof'],"['France', 'Allemagne', 'Suisse']",['Hafervollkornflocken* glutenfrei *aus kontrolliert biologischem Anbau'],"['Végétalien', 'Végétarien']",1560,370,1560 kj(370 kcal),"6,7","1,1",60,"0,8","13,2",0,0,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons extrudés', 'Flocons laminés', ""Flocons d'avoine""]","['Bio', 'Végétarien', 'Sans gluten', 'Végétalien']",,6.7 g,en quantité modérée,1.1 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,+1%,+0%,+1%,-6%,-12%,+1%,-52%,+7%,-100%,-100%,-5,,A,,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,,,,,,,,
1066,Flocons d'avoine - Bauck Hof - 475g,4015637826059,,['Bauck Hof'],"['Belgique', 'France', 'Espagne']",[],"['Végétalien', 'Végétarien']",?,370,1548 kj(370 kcal),"6,7","1,1",60,"0,8",13,"0,01","0,004",B,475 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]","['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Végétalien']",,6.7 g,en quantité modérée,1.1 g,en faible quantité,0.8 g,en faible quantité,0.01 g,en faible quantité,,+0%,-0%,-6%,-12%,+1%,-52%,+6%,-67%,-67%,0,,B,,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,,,,,,,,,,,
1067,Curry Gewürz Ketchup delikat - Hela - 500ml,4027400070170,"['Flacon', 'Plastique', 'Flasche(n)', 'Tube']",['Hela'],"['France', 'Allemagne', 'Suisse']","['Tomatensaft', 'Zucker', 'Dextrose', 'Kochsale', 'Papria', 'Chillies', 'Nelken', 'Gewürze', 'Branntweinessig m Salverungsmittel: Citronensäure', 'Verdickungsmite tanisbrotkernmehl', 'Kräuter ', 'enthält Sellerie', 'Sae lat', 'Geschmacksverstärker: Mononatriumgluae']",[],572,135,572 kj(135 kcal),"0,3","0,1","31,3","30,1","0,5","2,275","0,91",B,500ml,"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']","['Sans gluten', 'Fabriqué en Allemagne', 'Sans conservateurs']",,0.3 g,en faible quantité,0.1 g,en faible quantité,30.1 g,en quantité élevée,2.27 g,en quantité élevée,+33%,+27%,+30%,+23%,+57%,+38%,+54%,-62%,+14%,+14%,17,+40%,D,+40%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,4,,['E330 - Acide citrique'],,,,,,,,
1068,Mantequilla con sal - Oldenburger - 250g,4036300010315,['Papel'],['Oldenburger'],"['France', 'Espagne']","['Mantequilla', 'con sal', '81% grasa']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,735,3075 kj(735 kcal),81,"55,9",1,1,"0,6",1,"0,4",E,250 g,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel', 'Beurres salés']",,,81 g,en quantité élevée,55.9 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,,+1%,+2%,+1%,+4%,+59%,+75%,-9%,-49%,-49%,23,-9%,E,-9%,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,['Lait'],2,,,,,,,,,,
1069,Salami de bœuf avec poulet - SUNTAT,4040328033317,,['SUNTAT'],['France'],"['Bœuf 39%', 'peau de poulet', 'eau', 'viande de poulet 14%', 'sel', 'dextrose de mais', 'stabilisant: E450', 'épices', 'sirop de glucose', 'antioxydants: E301', ""extrait d'épices"", 'colorant: E120', 'conservateur: E250', '33317']","['Non végétalien', 'Non végétarien']",?,201,841 kj(201 kcal),16,6,"0,7","0,04",13,"2,2","0,88",E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Volailles', 'Poulets', 'Saucisses de volaille', 'Saucisses de poulet']",['Halal'],,16 g,en quantité modérée,6 g,en quantité élevée,0.04 g,en faible quantité,2.2 g,en quantité élevée,,-3%,-3%,+4%,+37%,-68%,-94%,-3%,+15%,+15%,16,+25%,D,+25%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,4,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E120 - Acide carminique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,
1070,Bresso Wildkräuter - 150g,4045357000934,['Frais'],"['Bresso', 'Savencia']","['Autriche', 'France', 'Allemagne']","['Frischkäse', 'Creme fraiche', 'Butter', 'Rosmarin', 'Thymian', 'Schnittlauch', 'Zwiebeln', 'Knoblauch', 'Gewürze', 'Stärke', 'Speisesalz', 'Stickstoff zum aufschlagen']",['Non végétalien'],845,204,845 kj(204 kcal),18,12,4,"2,8","6,5","1,2","0,48",D,150g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à la crème']",,,18 g,en quantité modérée,12 g,en quantité élevée,2.8 g,en faible quantité,1.2 g,en quantité modérée,+20%,+38%,+35%,+70%,+73%,-26%,-41%,-3%,+259%,+259%,13,+217%,D,+217%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Lait'],3,['DE BY-714 EG'],,,,,,,,,
1071,Pain 4 céréales - 500g,4058077764345,['Barquette'],,"['France', 'Suisse']",['Ja Cereali Arnarteyt'],[],?,242,1013 kj(242 kcal),"4,5","0,5",39,"2,5","8,5",1,"0,4",,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['Fabriqué en Allemagne'],,4.5 g,en quantité modérée,0.5 g,en faible quantité,2.5 g,en faible quantité,1 g,en quantité modérée,,-26%,-27%,-27%,-57%,-29%,-36%,-11%,-22%,-22%,-3,-159%,A,-159%,,,,,,,,,,,,,,,,,,,
1072,"Hefe-Weißbier - Paulaner - 0,5l",4066600641964,"['Glas', 'Flasche', 'Bottle']",['Paulaner'],"['France', 'Allemagne', 'Pays-Bas', 'Thaïlande']","['eau', 'malt de blé', ""malt d'orge"", 'levure', 'houblon']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,"0,5 l","['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blanches']","['IGP', 'de:Munchener-bier']","['Super U', 'Magasins U']",,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Gluten'],3,,,Bière,['München'],http://www.paulaner.de,,,,,
1073,Tortellini Pâtes bio farcies aux légumes - Alnatura - 250g,4104420014701,['Kunststoff'],['Alnatura'],"['France', 'Allemagne', 'Suisse']","['Pate 74%: semoule de blé dur', 'eau', 'huile de palme', ' farce 26%', ' légumes 65% ', 'oignons 24%', 'carottes 21%', 'poireau 16%', 'céleri 3%', 'épinards 1%', 'chapelure ', 'farine de blé', 'levure', 'flocons de pommes de terre', 'graisse de palme non hydrogénée', 'sel marin', 'épices ', 'en proportion variable: ail', 'poivre', 'sarriette', 'huile de tournesol', 'émulsifiant: lécithine de soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1257,301,1257 kj(301 kcal),"4,3","0,5",55,"2,3","9,1","0,99","0,396",,250 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Ravioli', 'Tortellini']","['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'de:Bio 7 Initiative', 'DE-ÖKO-001', 'en:EG-Öko-Verordnung', 'Agriculture UE', 'Agriculture UE/Non UE']","['Tegut', 'EDEKA']",4.3 g,en quantité modérée,0.5 g,en faible quantité,2.3 g,en faible quantité,0.99 g,en quantité modérée,+22%,+19%,+20%,-40%,-83%,+53%,-18%,-5%,-13%,-13%,-1,-116%,A,-116%,,,,,,,,"['Céleri', 'Gluten', 'Soja']",4,,,Bio Teigwaren mit Gemüsefüllung,['Deutschland'],https://www.alnatura.de/de-de/alnatura-produkte/produktsuche/bio-tortellini-gemuese-semi-frisch-250g,,,,,
1074,Miel de forêt - Alnatura - 350g,4104420024045,,['Alnatura'],"['France', 'Suisse']","['Miel de forêt bio,']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,313,1310 kj(313 kcal),"0,1","0,1","77,9","77,9","0,4",0,0,B,350 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de forêt']","['Bio', 'Bio européen', 'de:Bio 7 Initiative', 'DE-ÖKO-001', 'Agriculture UE/Non UE']",['Alnatura'],0.1 g,en faible quantité,0.1 g,en faible quantité,77.9 g,en quantité élevée,0 g,en faible quantité,,+11%,+13%,-63%,+367%,+6%,+14%,+49%,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,2,,,,,http://www.alnatura.de,,,,,
1075,Bière Blonde - Beck's - 50cl,41001318,"['Glas', 'mehrwegpfand']","[""Beck's""]","['Belgique', 'France', 'Allemagne']","['Eau', ""malt d'orge"", 'houblon']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,38,159 kj(38 kcal),"< 0,01","< 0,01","2,2","0,1","0,37","< 0,01","0,004",C,50 cl,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes', 'Pils']","['en:Déconseillé aux enfants et aux femmes enceintes', 'en:Déconseillé à certaines catégories de personnes']",,,,,,,,,,,-7%,-8%,-94%,-69%,-37%,-79%,-9%,-35%,-35%,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Gluten'],3,,,,['Allemagne'],,,,,,
1076,ChariTea green - 330ml,42282174,"['Bouteille', 'Verre']","['Charitea', 'ChariTea green']",['France'],"['Thé vert biologique et gingembre biologique ', '94%', ""jus d'agave biologique"", 'miel biologique', 'jus de citron biologique', ' Ingrédients conformes aux standards du commerce équitable Fairtrade/Max Havelaar: infusion de thé vert', 'gingembre', ""jus d'agave et miel "", '98% du poids total']",['Non végétalien'],?,15,63 kj(15 kcal),0,0,"3,2","3,2",0,0,0,A,330 ml,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Boissons sans sucre ajouté']","['Bio', 'Bio européen', 'Commerce équitable', 'Agriculture non UE', 'DE-ÖKO-012', 'Fairtrade International', 'Max Havelaar']",['Bio C Bon'],,,,,,,,,,+67%,+70%,-100%,-100%,+83%,+142%,-100%,-100%,-100%,6,+52%,D,+52%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,
1077,Fuzetea - 1l,5000112630305,['Plastic'],['Fuzetea'],"['France', 'Allemagne']","['Gebrühter Schwarztee 93% [Wasser', 'konzentrierter Schwarztee - Aufguss***', 'Zucker', 'Pfirsichsaft aus Pfirsichsaftkonzentrat ', '3%', 'Säuerungs - mittel Citronensäure und Apfelsäure', 'natürliches Pfirsicharoma mit anderen natuttichoomen', 'Saureregulator Natriumcitrate', 'Antioxidationsmittel Ascorbinsaure', 'Hibiskus-Extrakt', 'Süßungsimittel Steviolglykoside', ' *aus Tee-Konzentrat **von Rainforest-Alliance-zertifizierten Farmen']",[],79,19,79 kj(19 kcal),0,0,"4,3","4,3",0,"0,03","0,012",B,1l,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés noirs']",['Rainforest Alliance'],,,,,,,,,,+464%,+850%,+690%,-100%,-100%,+2094%,+2692%,-100%,+3766%,+3766%,6,+404%,D,+404%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,
1078,M&m's PEANUT - 550g,5000159415767,['Sachet plastique'],"[""m&m's""]",['France'],"['Sucre', 'cacahuètes 24%', 'pâte de cacao', 'lait écrémé en poudre', 'lactose et protéines de lait', 'beurre de cacao', 'matière grasse de palme', 'beurre concentré ', 'lait', 'amidon', 'sirop de glucose', 'matière grasse de karité', 'émulsifiant ', 'lécithine de soja', 'stabilisant ', 'gomme arabique', 'colorants ', 'E100', 'E120', 'E133', 'E160a', 'E160e', 'E171', 'dextrine', ""agent d'enrobage "", 'cire de carnauba', 'sel', 'arômes', 'huile de noix de coco']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,511,2138 kj(511 kcal),"25,3","10,2","59,1","53,6","9,8","0,09","0,036",E,550 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat', 'Cacahuètes au chocolat']",,"['Monoprix', 'Super U', 'Carrefour', 'Leclerc', 'Hyper U', 'Amazon Pranty']",25.3 g,en quantité élevée,10.2 g,en quantité élevée,53.6 g,en quantité élevée,0.09 g,en faible quantité,,+0%,+0%,-0%,-6%,+0%,+0%,+11%,-34%,-34%,26,+3%,E,+3%,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,"['Lait', 'Arachides', 'Soja']",4,,"['E322i - Lécithine', ""E414 - Gomme d'acacia"", 'E100 - Curcumine', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E160a - Carotènes mélangés', ""E160e - Apocaroténal 8'"", 'E171 - Oxyde de titane', 'E1400 - Dextrines', 'E903 - Cire de carnauba']",Cacahuètes enrobées de chocolat au lait 48% et dragéifiées,,,,['Huile de palme'],,,
1079,Mixed Minis 400G - Mars - 400g,5000159452977,,['Mars'],"['Belgique', 'France', 'Allemagne']","['sucre', 'sirop de glucose', 'cacahuètes', 'lait écrémé en poudre de cacao', 'pâte de cacao', 'huile de tournesol', 'lactose', 'matière grasse du lait', 'petit-lait re', 'matière grasse de palme', 'sel', 'émulsifiant ', 'lécithine de soja', ""blanc d'oeuf en poudre"", 'poudre de lait', 'extrait naturel de vanille']","['Huile de palme', 'Non végétalien']",?,469,1962 kj(469 kcal),"20,52","11,98","65,72","55,44","4,78","0,452","0,181",,400 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées']",,"['Magasins U', 'Delhaize']",20.5 g,en quantité élevée,12 g,en quantité élevée,55.4 g,en quantité élevée,0.452 g,en quantité modérée,,+4%,+4%,+0%,+35%,+19%,+63%,-43%,+31%,+31%,27,+58%,E,+58%,,,,,,,,"['Œufs', 'Lait', 'Arachides', 'Soja']",4,,['E322i - Lécithine'],,,,,['Huile de palme'],,,
1080,M&M's - Mars Chocolat - 550g,5000159458337,['Sachet'],"['Mars Chocolat', ""M&M's""]","['Belgique', 'France']","['Sucre', 'cacahuètes', 'pâte de cacao', 'lait écrémé en poudre', 'lactose et protéines de lait', 'beurre de cacao', 'matière grasse de palme', 'beurre concentré', 'amidon', 'siro pde glucose', 'matière grasse de karité', 'émulsifiant ', 'lécithine de soja', 'stabilisant ', 'gomme arabique', 'colorants ', 'E100', 'E120', 'E133', 'E160a', 'E160e', 'E171', 'dextrine', ""agent d'enrobage "", 'cire de carnauba', 'arômes', 'huile de noix de coco']","['Huile de palme', 'Non végétalien', 'Non végétarien']",2139,515,2139 kj(515 kcal),26,11,59,53,"9,9","0,09","0,036",E,550 g,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Fruits à coques enrobés de chocolat', 'Cacahuètes au chocolat']",,['Carrefour market'],26 g,en quantité élevée,11 g,en quantité élevée,53 g,en quantité élevée,0.09 g,en faible quantité,+2%,+1%,+0%,+2%,+1%,+0%,-1%,+12%,-34%,-34%,26,+3%,E,+3%,84.5%,11.4%,1.3%,2.4%,0.4%,0.0%,26,"['Lait', 'Arachides', 'Soja']",4,,"['E322i - Lécithine', ""E414 - Gomme d'acacia"", 'E100 - Curcumine', 'E120 - Acide carminique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E160a - Carotènes mélangés', ""E160e - Apocaroténal 8'"", 'E171 - Oxyde de titane', 'E1400 - Dextrines', 'E903 - Cire de carnauba']",Cacahuètes enrobées de chocolat au lait,,,,['Huile de palme'],,,
1081,Twix - 600g ( 12x (2x 25g) ),5000159462365,['Plastique'],['Twix'],"['France', 'Suisse']","['sucre', 'sirop de glucose', 'farine de blé ', '17 %', 'matière grasse de palme', 'beurre de cacao', 'lait écrémé en poudre', 'pâte de cacao', 'lactose', 'beurre concentré ', 'lait', 'petit-lait en poudre', 'cacao maigre', 'sel', 'émulsifiant ', 'lécithine de soja', 'poudre à lever ', 'E500', 'extrait naturel de vanille']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,496,2075 kj(496 kcal),24,"13,9","64,6","48,8","4,5","0,4","0,16",,600 g ( 12 x (2 x 25g) ),"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",,,24 g,en quantité élevée,13.9 g,en quantité élevée,48.8 g,en quantité élevée,0.4 g,en quantité modérée,,-1%,-2%,-12%,-8%,+16%,+8%,-34%,+24%,+24%,27,+11%,E,+11%,,,,,,,,"['Gluten', 'Lait', 'Soja']",4,,"['E322i - Lécithine', 'E500 - Carbonates de sodium']",Biscuit (26%) avec un nappage au caramel (32%) enrobé de chocolat au lait (35%),,,,['Huile de palme'],,,
1082,Snickers mini cubes 200g - 200g ℮,5000159493215,"['Sachet plastique', 'Point vert', 'Triman']",['Snickers'],['France'],"['sucre', 'sirop de glucose', 'cacahuètes', 'beurre de cacao', 'lait écrémé en poudre', 'pâte de cacao', 'lactose', 'huile de tournesol', 'matière grasse du lait', 'petit-lait en poudre', 'matière grasse de palme', 'sel', 'émulsifiant ', 'lécithine de soja', ""blanc d'oeuf en poudre"", 'protéine de lait', 'extrait naturel de vanille']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,486,2033 kj(486 kcal),23,9,"60,9","53,3","8,1","0,57","0,228",,200g ℮,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées aux fruits oléagineux']",,['Magasins U'],23 g,en quantité élevée,9 g,en quantité élevée,53.3 g,en quantité élevée,0.57 g,en quantité modérée,,+5%,+4%,+3%,+11%,+5%,+9%,+1%,+9%,+9%,26,+7%,E,+7%,,,,,,,,"['Œufs', 'Lait', 'Arachides', 'Soja']",4,,['E322i - Lécithine'],"Chocolat au lait fourré de confiserie (13%), caramel (23%) et cacahuètes (19%)",,,,['Huile de palme'],,,
1083,M&M’s - Mars,5000159507509,,['Mars'],['France'],"['sucre', 'cacahuètes', 'pâte de cacao', 'lait écrémé en poudre', 'lactose et protéines de lait', 'beurre de cacao', 'matière grasse de palme', 'matière grasse du lait', 'amidon', 'sirop de glucose', 'matière grasse de karité', 'lactose', 'émulsifiant ', 'lécithine de soja', 'stabilisant ', 'gomme arabique', 'colorants ', 'El 00', 'El 20', 'El 33', 'E160a', 'El 60e', 'El 71', 'dextrine', 'agent denrobage ', 'cire de carnauba', 'huile de palme', 'sel', 'arômes', ' ', 'Peut contenir: noisette', 'amande', ' TM/@/designs/@Mars']","['Huile de palme', 'Non végétalien']",?,512,2142 kj(512 kcal),"25,5","10,3","58,9","53,5","9,8","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Arachides', 'Soja']",4,,"['E322i - Lécithine', ""E414 - Gomme d'acacia"", 'E160a - Carotènes mélangés', 'E1400 - Dextrines', 'E903 - Cire de carnauba']",,,,,['Huile de palme'],,,
